ID;Text;Label
D2-101;Microbial mats of coexisting bacteria and archaea were the dominant form of life in the early Archean eon, and many of the major steps in early evolution are thought to have taken place in this environment. The evolution of photosynthesis by cyanobacteria, around 3.5 Ga, eventually led to a buildup of its waste product, oxygen, in the oceans. After free oxygen saturated all available reductant substances on the Earth's surface, it built up in the atmosphere, leading to the Great Oxygenation Event around 2.4 Ga. The earliest evidence of eukaryotes (complex cells with organelles) dates from 1.85 Ga, likely due to symbiogenesis between anaerobic archaea and aerobic proteobacteria in co-adaptation against the new oxidative stress.;Human
D2-102;The origin of life on Earth remains a complex and debated topic, but most scientific theories suggest it began around 3.5 to 4 billion years ago. The primordial soup hypothesis proposes that organic molecules formed in Earth’s early atmosphere through chemical reactions, possibly triggered by lightning or volcanic activity. These molecules eventually led to the formation of self-replicating systems, such as RNA, which could store genetic information and catalyze reactions. Another theory, hydrothermal vent theory, suggests life may have originated in deep-sea vents, where mineral-rich water provided the necessary conditions for early biochemical reactions. Some scientists also consider the panspermia hypothesis, which proposes that life’s building blocks came from space via comets or meteorites.;Human
D2-103;Estimates of the time at which life arose on Earth make use of two types of evidence. First, astrophysical and geophysical studies provide a timescale for the formation of Earth and the Moon, for large impact events on early Earth, and for the cooling of the early magma ocean. From this evidence, we can deduce a habitability boundary, which is the earliest point at which Earth became habitable. Second, biosignatures in geological samples, including microfossils, stromatolites, and chemical isotope ratios, provide evidence for when life was actually present. From these observations we can deduce a biosignature boundary, which is the earliest point at which there is clear evidence that life existed.;Human
D2-104;"Life on Earth emerged roughly 3.8-4 billion years ago through a process still not fully understood by scientists. The prevailing theory suggests that in Earth's early oceans, simple organic molecules formed from reactions between water, atmospheric gases, and energy sources like lightning or UV radiation—as demonstrated in the Miller-Urey experiment. These molecules gradually combined into more complex structures, potentially forming RNA (ribonucleic acid) molecules capable of both storing information and catalyzing reactions. This ""RNA world"" hypothesis proposes that RNA preceded DNA and proteins in early life forms. Eventually, these molecules became enclosed within primitive membranes, creating protocells that could maintain internal chemistry distinct from their surroundings. ";Anthropic
D2-105;Black holes predominantly form from the catastrophic death of incredibly massive stars. Throughout their lives, these luminous giants generate immense energy by fusing lighter elements into heavier ones in their core, which creates outward pressure that resists the star's own powerful gravity. However, once a star exhausts its nuclear fuel, particularly when it attempts to fuse iron, the outward pressure can no longer be sustained. Without this counteracting force, the star's enormous gravity causes its core to rapidly collapse inward under its own weight.;Google
D2-106;Black holes form primarily through the death of massive stars. When a star with mass at least 20 times that of our sun exhausts its nuclear fuel, the outward pressure that counterbalanced gravity disappears. The star's core collapses catastrophically under its own weight, triggering a supernova explosion that blasts away outer layers while the core continues imploding. If the remaining core exceeds about 3 solar masses, gravity overwhelms all forces, compressing matter to infinite density at a central point called a singularity. Around this forms the event horizon—a boundary beyond which nothing, not even light, can escape. Alternatively, supermassive black holes at galactic centers likely formed during early universe evolution through mergers of smaller black holes.;Google
D2-107;Black holes are formed when a massive star runs out of fuel and its core collapses, creating a singularity - a point of infinite density and zero volume. The gravitational pull of a black hole is so strong that it can distort the fabric of space-time itself. Black holes are invisible to the naked eye, but their presence can be detected by their effects on nearby matter, such as stars and gas clouds, which can be pulled in and accelerated to high speeds as they spiral towards the event horizon. The study of black holes has led to some of the most profound discoveries in astrophysics and our understanding of the universe.;Meta
D2-108;Black holes form when massive stars collapse under their own gravity at the end of their life cycle. During a star’s lifetime, nuclear fusion generates outward pressure, balancing the inward pull of gravity. When a massive star exhausts its nuclear fuel, fusion stops, and the core collapses. If the star is large enough, typically over three times the Sun’s mass, the collapse continues beyond the neutron star stage, forming a singularity—a point of infinite density. The surrounding region becomes a black hole, with gravity so strong that not even light can escape. Some black holes also form through the merging of neutron stars or from the collapse of dense matter in the early universe.;OpenAI
D2-109;Supermassive black holes are extraordinarily massive black holes found at the centers of most large galaxies, including our own Milky Way, where one called Sagittarius A* resides. Unlike stellar black holes formed from collapsing stars, supermassive black holes contain millions to billions of solar masses compressed into a relatively compact region. How they formed remains debated — leading theories suggest they grew through continuous matter accretion and mergers with other black holes over billions of years. When actively consuming surrounding matter, they become quasars, among the brightest objects in the universe. Despite their immense gravity, they play a surprisingly constructive role in regulating star formation throughout their host galaxies.;Anthropic
D2-110;Bridging the gap between the approximately ten solar mass ‘stellar mass’ black holes and the ‘supermassive’ black holes of millions to billions of solar masses are the elusive ‘intermediate-mass’ black holes. Their discovery is key to understanding whether supermassive black holes can grow from stellar-mass black holes or whether a more exotic process accelerated their growth soon after the Big Bang. Currently, tentative evidence suggests that the progenitors of supermassive black holes were formed as ∼104–105 M black holes via the direct collapse of gas. Ongoing searches for intermediate-mass black holes at galaxy centres will help shed light on this formation mechanism.;Human
